#      Train        Test
    0.744463     0.854167 
    0.758092     0.819444 
    0.752981     0.868056 
    0.744463     0.819444 
     0.76661     0.861111 
    0.751278     0.833333 
    0.768313     0.826389 
    0.780239     0.840278 
    0.775128     0.861111 
    0.768313     0.861111 
    0.734242     0.847222 
    0.759796     0.833333 
     0.76661     0.763889 
    0.754685     0.881944 
    0.747871       0.8125 
    0.759796     0.833333 
    0.751278     0.854167 
    0.734242     0.743056 
    0.729131     0.881944 
    0.778535     0.819444 
    0.775128     0.833333 
    0.751278     0.854167 
    0.747871     0.847222 
    0.756388     0.833333 
    0.798978     0.861111 
    0.746167     0.819444 
    0.768313        0.875 
    0.771721     0.854167 
    0.754685     0.826389 
     0.74276     0.819444 
    0.759796     0.854167 
    0.752981     0.861111 
    0.751278     0.819444 
    0.747871     0.798611 
    0.747871       0.8125 
    0.758092     0.847222 
    0.763203     0.840278 
    0.768313     0.861111 
    0.747871     0.847222 
    0.778535     0.840278 
    0.741056     0.854167 
    0.797274     0.847222 
    0.804089     0.861111 
     0.76661     0.770833 
    0.775128     0.868056 
    0.758092     0.888889 
    0.746167     0.888889 
    0.752981     0.847222 
    0.761499     0.881944 
    0.751278       0.8125 
    0.775128       0.8125 
    0.768313     0.868056 
    0.770017     0.819444 
    0.747871     0.868056 
    0.749574     0.868056 
    0.752981     0.895833 
    0.763203     0.888889 
     0.74276     0.888889 
     0.79046     0.868056 
    0.752981     0.861111 
    0.773424       0.8125 
    0.775128     0.861111 
    0.737649     0.881944 
    0.749574     0.854167 
    0.780239     0.847222 
    0.781942        0.875 
    0.751278     0.819444 
    0.768313     0.854167 
    0.758092     0.854167 
    0.763203     0.847222 
    0.770017     0.854167 
    0.770017     0.840278 
    0.758092     0.888889 
    0.758092     0.868056 
    0.787053        0.875 
    0.756388     0.881944 
    0.737649        0.875 
    0.761499     0.840278 
    0.770017     0.840278 
     0.76661     0.888889 
    0.778535     0.840278 
    0.744463     0.888889 
    0.758092     0.854167 
    0.763203       0.8125 
    0.747871     0.854167 
    0.783646     0.833333 
    0.770017     0.847222 
    0.751278     0.868056 
    0.787053     0.861111 
    0.778535     0.798611 
    0.783646     0.854167 
     0.79046     0.840278 
     0.76661     0.770833 
    0.756388     0.840278 
    0.778535     0.819444 
    0.759796       0.8125 
    0.758092     0.868056 
    0.747871     0.847222 
    0.752981        0.875 
    0.756388     0.791667 
    0.768313       0.8125 
    0.751278     0.861111 
    0.783646     0.895833 
    0.783646     0.868056 
    0.764906     0.784722 
    0.778535     0.881944 
    0.780239     0.840278 
    0.752981     0.805556 
    0.773424     0.805556 
    0.770017     0.798611 
    0.764906     0.826389 
    0.756388     0.854167 
    0.741056        0.875 
    0.764906     0.840278 
    0.792164     0.861111 
    0.749574     0.819444 
    0.754685     0.861111 
    0.776831     0.861111 
    0.763203       0.8125 
    0.770017     0.826389 
     0.76661     0.868056 
    0.788756     0.798611 
    0.763203     0.854167 
    0.800681     0.881944 
    0.781942     0.819444 
    0.761499        0.875 
     0.79046     0.868056 
    0.756388     0.826389 
    0.778535     0.833333 
    0.756388     0.833333 
    0.747871     0.666667 
    0.756388     0.756944 
    0.783646     0.791667 
    0.787053       0.8125 
    0.780239        0.875 
    0.788756     0.833333 
    0.783646     0.854167 
    0.770017     0.881944 
    0.754685        0.875 
    0.771721     0.854167 
    0.783646     0.888889 
    0.781942     0.854167 
    0.785349     0.881944 
    0.788756     0.861111 
    0.785349     0.868056 
    0.816014     0.868056 
