#      Train        Test
      5.3238      4.50149 
     5.25899      3.83804 
     4.97773      4.04842 
     5.12665      3.98099 
     5.18129      4.33664 
     5.03796      4.39679 
      5.0167      3.87975 
      5.1282      3.90813 
     5.00454      3.93579 
     5.07554       3.6962 
     4.82237      3.78365 
     5.31317      3.72754 
     4.88261       4.1271 
     5.23288      4.65405 
     4.99366       4.1559 
     4.95327      4.44061 
     5.07034      4.01103 
     4.96321      4.00386 
     5.15476      4.93385 
     5.35302      3.36254 
     4.84403      4.04907 
     5.01082      3.88352 
     5.12698      4.04497 
     5.12381      4.24248 
     5.15631      4.02797 
     4.71415      3.99843 
     5.06855      4.16406 
     4.99392      3.66772 
     4.93348      4.10949 
     4.89636      4.00585 
     5.16213      4.60341 
     5.18291      4.28096 
     5.13011       3.8886 
     5.25493      4.79032 
     5.16442      4.70413 
     5.25204      4.03579 
     5.09253      4.05983 
     5.20993      4.22924 
     4.96279      3.67034 
     5.16995      3.71657 
     5.05857      3.78183 
     5.19622      3.76854 
     4.70659      4.24599 
     4.81464      3.58384 
     5.14642      5.51493 
     5.13567      4.04028 
     4.96191      3.42215 
     5.18725      3.33329 
     5.13877      4.13563 
     4.98744      3.52418 
     5.01426      4.08674 
      5.0158      4.30175 
     5.04818      3.65156 
     4.93723      4.00853 
     4.98787      3.77306 
     4.88562      3.93413 
     4.96863      3.72791 
     4.89971      3.70656 
     5.20158       3.3493 
     5.00856      3.92917 
     4.96193      3.71814 
     4.77568      4.06101 
     4.75024      3.58891 
     5.17132      3.68487 
     5.14958      3.77717 
     4.99669      3.80329 
     4.80989       3.6307 
     5.02824       3.8896 
     5.06027      3.84847 
      5.0421      3.84262 
      4.8713      3.97954 
     4.99128      3.71887 
     4.86279      4.23779 
     4.96262      3.75261 
     5.14212      3.30381 
     5.04582      3.46781 
     5.15439       3.6854 
     5.29438      3.70059 
     5.03392      3.84851 
       5.047      4.05288 
     5.01529      3.33818 
     4.89836       3.9996 
     5.00968      4.00309 
     5.17047      4.13457 
     4.99541      4.46697 
     5.19322      3.84633 
     4.81227      3.56474 
     4.81924      4.27881 
     5.16107      3.61715 
     4.76856      4.00249 
      4.9068      4.32824 
     4.68048      3.77917 
     4.78551      4.09417 
     5.15479      5.31837 
     5.11721      3.72966 
     5.01887      4.64082 
     5.10935       4.3492 
     5.14846      3.80201 
     4.99001      4.13035 
     5.15621      3.79695 
     5.21174       4.4446 
     5.06321      5.32397 
     5.29424      3.31049 
     4.80449      3.66212 
     4.88111      3.55508 
     5.02516      4.65634 
